OBJECTID,FID_pak1k_gpo2_hd_urban,group_,ID,Pop,FID_pak_admbnda_adm1_wfp_20220909,Shape_Leng,ADM1_EN,ADM1_PCODE,ADM1_REF,ADM1ALT1EN,ADM1ALT2EN,ADM0_EN,ADM0_PCODE,date,validOn,validTo,Shape_Length,Shape_Area
130,126,125,1606,66759.79688,6,30.29688721,Sindh,PK7, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.216666,0.001666667
131,127,126,1607,137029.8594,6,30.29688721,Sindh,PK7, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.216666,0.002083325
132,128,127,1608,55957.14062,6,30.29688721,Sindh,PK7, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.166668,0.001319456
133,129,128,1609,139966.3906,6,30.29688721,Sindh,PK7, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.233332,0.002083333
134,130,129,1610,244211.1563,6,30.29688721,Sindh,PK7, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.333334,0.003611122
135,131,130,1611,128912.1875,6,30.29688721,Sindh,PK7, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.25,0.0025
136,132,131,1612,2197011.25,6,30.29688721,Sindh,PK7, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.866668,0.020416642
137,133,132,1613,29522.81407,1,42.06246202,Balochistan,PK2, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.065602412,0.000165539
138,133,132,1613,15085914.92,6,30.29688721,Sindh,PK7, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,2.328842182,0.084589155
139,134,133,1614,57572.52734,6,30.29688721,Sindh,PK7, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.2,0.001458342
